# Main file: Tests/pb2/output.csv
numIteration,tail,head,freeFlowCost,actualCost,capacity,flow
15,2,5,0,90,10,0
15,2,6,0,270.474,10,10
15,3,4,360,372.667,10,6.95932
15,4,1,0,0,10,0
15,4,7,0,0,10,6.95932
15,5,6,360,270.462,10,3.04068
15,6,7,0,0,10,3.04068
15,6,8,0,37.5707,10,10
15,9,10,0,0,10,0
15,9,12,0,90,10,0
15,9,13,0,285.707,10,10
15,10,11,360,360.262,10,2.63848
15,11,0,0,0,10,0
15,11,14,0,0,10,2.63848
15,12,13,360,285.859,10,7.36152
15,13,14,0,0,10,7.36152
15,13,15,0,36.0474,10,10
16,0,1,36,36.0472,10,3.05816
16,0,3,0,0,10,6.94184
16,0,8,0,0,10,0
16,0,12,4,35.8323,3,7.36814
16,1,0,36,37.5916,10,7.36814
16,1,5,4,66.3689,1,3.05816
16,1,10,0,0,10,2.63186
16,1,15,0,0,10,0
16,2,3,0,0,10,0
16,2,5,0,90,10,0
16,2,6,0,270.462,10,10
16,3,4,360,372.54,10,6.94184
16,4,1,0,0,10,0
16,4,7,0,0,10,6.94184
16,5,6,360,270.472,10,3.05816
16,6,7,0,0,10,3.05816
16,6,8,0,37.5859,10,10
16,9,10,0,0,10,0
16,9,12,0,90,10,0
16,9,13,0,285.859,10,10
16,10,11,360,360.259,10,2.63186
16,11,0,0,0,10,0
16,11,14,0,0,10,2.63186
16,12,13,360,285.916,10,7.36814
16,13,14,0,0,10,7.36814
16,13,15,0,36.0462,10,10
17,0,1,36,36.0464,10,3.04533
17,0,3,0,0,10,6.95467
17,0,8,0,0,10,0
17,0,12,4,35.9634,3,7.37918
17,1,0,36,37.6011,10,7.37918
17,1,5,4,65.5376,1,3.04533
17,1,10,0,0,10,2.62082
17,1,15,0,0,10,0
17,2,3,0,0,10,0
17,2,5,0,90,10,0
17,2,6,0,270.472,10,10
17,3,4,360,372.633,10,6.95467
17,4,1,0,0,10,0
17,4,7,0,0,10,6.95467
17,5,6,360,270.464,10,3.04533
17,6,7,0,0,10,3.04533
17,6,8,0,37.5916,10,10
17,9,10,0,0,10,0
17,9,12,0,90,10,0
17,9,13,0,285.916,10,10
17,10,11,360,360.255,10,2.62082
17,11,0,0,0,10,0
17,11,14,0,0,10,2.62082
17,12,13,360,286.011,10,7.37918
17,13,14,0,0,10,7.37918
17,13,15,0,36.0472,10,10
18,0,1,36,36.0471,10,3.05641
18,0,3,0,0,10,6.94359
18,0,8,0,0,10,0
18,0,12,4,36.0132,3,7.38336
18,1,0,36,37.6048,10,7.38336
18,1,5,4,66.2556,1,3.05641
18,1,10,0,0,10,2.61664
18,1,15,0,0,10,0
18,2,3,0,0,10,0
18,2,5,0,90,10,0
18,2,6,0,270.464,10,10
18,3,4,360,372.552,10,6.94359
18,4,1,0,0,10,0
18,4,7,0,0,10,6.94359
18,5,6,360,270.471,10,3.05641
18,6,7,0,0,10,3.05641
18,6,8,0,37.6011,10,10
18,9,10,0,0,10,0
18,9,12,0,90,10,0
18,9,13,0,286.011,10,10
18,10,11,360,360.253,10,2.61664
18,11,0,0,0,10,0
18,11,14,0,0,10,2.61664
18,12,13,360,286.048,10,7.38336
18,13,14,0,0,10,7.38336
18,13,15,0,36.0464,10,10
19,0,1,36,36.0466,10,3.04825
19,0,3,0,0,10,6.95175
19,0,8,0,0,10,0
19,0,12,4,36.0966,3,7.39035
19,1,0,36,37.6108,10,7.39035
19,1,5,4,65.7267,1,3.04825
19,1,10,0,0,10,2.60965
19,1,15,0,0,10,0
19,2,3,0,0,10,0
19,2,5,0,90,10,0
19,2,6,0,270.471,10,10
19,3,4,360,372.612,10,6.95175
19,4,1,0,0,10,0
19,4,7,0,0,10,6.95175
19,5,6,360,270.466,10,3.04825
19,6,7,0,0,10,3.04825
19,6,8,0,37.6048,10,10
19,9,10,0,0,10,0
19,9,12,0,90,10,0
19,9,13,0,286.048,10,10
19,10,11,360,360.25,10,2.60965
19,11,0,0,0,10,0
19,11,14,0,0,10,2.60965
19,12,13,360,286.108,10,7.39035
19,13,14,0,0,10,7.39035
19,13,15,0,36.0471,10,10
20,0,1,36,36.0471,10,3.05531
20,0,3,0,0,10,6.94469
20,0,8,0,0,10,0
20,0,12,4,36.1283,3,7.393
20,1,0,36,37.6132,10,7.393
20,1,5,4,66.1842,1,3.05531
20,1,10,0,0,10,2.607
20,1,15,0,0,10,0
20,2,3,0,0,10,0
20,2,5,0,90,10,0
20,2,6,0,270.466,10,10
20,3,4,360,372.56,10,6.94469
20,4,1,0,0,10,0
20,4,7,0,0,10,6.94469
20,5,6,360,270.471,10,3.05531
20,6,7,0,0,10,3.05531
20,6,8,0,37.6108,10,10
20,9,10,0,0,10,0
20,9,12,0,90,10,0
20,9,13,0,286.108,10,10
20,10,11,360,360.249,10,2.607
20,11,0,0,0,10,0
20,11,14,0,0,10,2.607
20,12,13,360,286.132,10,7.393
20,13,14,0,0,10,7.393
20,13,15,0,36.0466,10,10
