# Input graph: amod_fw/data/elastic_Pb2/exp/1_0/graph.gr.bin
# OD-pairs: amod_fw/data/elastic_Pb2/exp/1_0/od.csv
# Objective: UE
# Function: elastic
# Shortest-path algo: ch
# Period of analysis: 1h
# Sampling intervals: [1@1]
# Preprocessing time: 0ms
iteration,sampling_interval,customization_time,query_time,line_search_time,total_time,avg_change,max_change,obj_function_value,total_travel_cost,checksum
174,1,0,0,0,0,5.37299e-05,0.000106809,465348,740114,740010
175,1,0,0,0,0,4.06825e-05,5.47136e-05,465271,740097,740040
176,1,0,0,0,0,5.43579e-05,0.000109421,465335,740126,740020
177,1,0,0,4,4,2.70317e-05,5.47166e-05,465234,740098,740040
178,1,0,0,5,5,6.74097e-05,0.000106815,465311,740110,740010
179,1,0,0,3,3,6.74132e-05,0.000106826,465226,740093,740040
180,1,0,0,11,11,9.41391e-05,0.000160222,465300,740104,739990
181,1,0,0,0,0,5.37377e-05,0.000106832,465216,740088,740030
182,1,0,0,0,0,5.37334e-05,0.00010682,465289,740098,739990
183,1,0,0,1,1,4.0087e-05,0.000106832,465218,740082,740020
184,1,0,0,3,3,6.771e-05,0.000109206,465600,740154,740030
185,1,0,0,14,14,0.000107763,0.000163791,465671,740165,740050
186,1,0,0,0,0,4.0681e-05,5.47136e-05,465580,740146,740080
187,1,0,0,1,1,5.43296e-05,0.000109206,465648,740179,740080
188,1,0,0,5,5,4.06788e-05,5.47136e-05,465554,740151,740090
189,1,0,0,2,2,5.3727e-05,0.000106803,465629,740162,740050
190,1,0,0,6,6,5.37313e-05,0.000106815,465545,740146,740090
191,1,0,0,8,8,5.3727e-05,0.000106803,465617,740156,740050
192,1,0,0,2,2,2.70026e-05,5.4603e-05,465534,740140,740070
193,1,0,0,12,12,2.70011e-05,5.46001e-05,465605,740151,740050
194,1,0,0,0,0,4.06803e-05,5.47106e-05,465530,740134,740080
195,1,0,0,1,1,5.43549e-05,0.000109415,465593,740162,740060
196,1,0,0,1,1,2.70302e-05,5.47136e-05,465494,740135,740080
197,1,0,0,3,3,9.4134e-05,0.000160214,465569,740146,740030
198,1,0,0,3,3,9.41433e-05,0.000160239,465485,740130,740080
199,1,0,0,4,4,9.4134e-05,0.000160214,465557,740140,740030
200,1,0,0,13,13,5.37348e-05,0.000106826,465475,740124,740070
